title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"A comprehensive survey of knowledge graph-based recommender systems: Technologies, development, and contributions","J Chicaiza, P Valdiviezo-Diaz",2021,206,"… When we broadened the search, we found multiple literature reviews or studies in the area of recommender systems, although most of them focused on theories and applications of …",VfOpMtwa2H4J,"J Chicaiza, P Valdiviezo-Diaz - Information, 2021 - mdpi.com",[],https://www.mdpi.com/2078-2489/12/6/232,unknown,unknown
A survey on knowledge graph-based recommender systems,"Q Guo, F Zhuang, C Qin, H Zhu, X Xie…",2020,1551,"… For a more comprehensive review of KGs, we refer readers to [40], [41]. In addition, literature [42] provides practical advice on choosing the KG under different conditions. In our …",9mRORONrZi8J,"Q Guo, F Zhuang, C Qin, H Zhu, X Xie… - … on Knowledge and …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9216015/,unknown,unknown
A survey on knowledge graph-based recommender systems,"D Li, H Qu, J Wang",2023,101,"… This paper reviews recent studies, dis… recommendation system based on knowledge graph. Section II introduces related knowledge from two aspects of recommendation systems and …",W18nj8trLAoJ,"D Li, H Qu, J Wang - 2023 China Automation Congress (CAC), 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10450693/,unknown,unknown
A survey of research hotspots and frontier trends of recommendation systems from the perspective of knowledge graph,"B Shao, X Li, G Bian",2021,215,"… era of big data, the recommendation system has become an … data related to the recommendation system theme from 2009 … to analyze the theme of recommendation system. To …",QON8KCiDIvwJ,"B Shao, X Li, G Bian - Expert Systems with Applications, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0957417420305881,unknown,unknown
Deep learning on knowledge graph for recommender system: A survey,"Y Gao, YF Li, Y Lin, H Gao, L Khan",2004,88,"… best knowledge, our survey is the first review of state-of-the-art deep recommender systems … utilize GNNs to extract information from knowledge graphs for improving recommendation. …",8b3h7qcAzSIJ,"Y Gao, YF Li, Y Lin, H Gao, L Khan - arXiv preprint arXiv:2004.00387, 2020 - arxiv.org",[],https://arxiv.org/abs/2004.00387,unknown,unknown
Graph neural networks in recommender systems: a survey,"S Wu, F Sun, W Zhang, X Xie, B Cui",2022,2477,"… knowledge, the most relevant survey published formally is a short paper [151], which presents a review of graph-learning-based systems … by leveraging a knowledge graph, which …",o4kfRiEx0OUJ,"S Wu, F Sun, W Zhang, X Xie, B Cui - ACM computing surveys, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3535101,unknown,unknown
Research summary of recommendation system based on knowledge graph,"X He, X Ke",2021,12,… review the knowledge graph-based recommendation system … and the generation of recommendation using knowledge graph. … review of knowledge graph recommendation system. …,oXTTvj9KkCkJ,"X He, X Ke - Proceedings of the 2021 3rd International Conference …, 2021 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3468920.3468935,unknown,unknown
"A systematic review of deep knowledge graph-based recommender systems, with focus on explainable embeddings","RF Doh, C Zhou, JK Arthur, I Tawiah, B Doh",2022,17,"… DKG-based methodologies, and a review in this new research … systematic literature review framework to survey the recently … graph-based representations to improve recommendations’ …",5h0Rb8w0NWMJ,"RF Doh, C Zhou, JK Arthur, I Tawiah, B Doh - Data, 2022 - mdpi.com",[],https://www.mdpi.com/2306-5729/7/7/94,unknown,unknown
A survey on application of knowledge graph,X Zou,2020,557,"… review about the application of knowledge graphs. Therefore, the main contribution of this paper is to give a first survey on applications of knowledge graphs… in recommender systems is …",dlDQrv9F2qkJ,"X Zou - Journal of Physics: Conference Series, 2020 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1742-6596/1487/1/012016/meta,unknown,unknown
Knowledge Graph-Based Recommender Systems to Mitigate Data Sparsity: A Systematic Literature Review.,"B Boualaoui, A Zellou…",2025,10,"… a solution for sparsity issues using knowledge graph-based recommender systems? … relations for knowledge graph enhanced recommender system,” Expert Systems with Applications, …",jfks7fv2eeUJ,"B Boualaoui, A Zellou… - International Journal of …, 2025 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18657923&AN=183104430&h=CDHUCbwBRi%2FLpOuig7u3wYFZcZGdJoc3UZ6S4bPMhLrzzfjuGpWEpomhsCs7ff80euzouHf87D5fNslF0Y%2FKQQ%3D%3D&crl=c,unknown,unknown
Recommendation methods and systems using knowledge graph,"R Zi-Yun, Z Yi, L Jun-Tao, C Wan-Hua",2021,22,"… a knowledge graph can alleviate these challenges to a certain extent, and integrating this information into recommender systems … reviews recommendation methods and systems using …",a3jR-q3ewo0J,"R Zi-Yun, Z Yi, L Jun-Tao, C Wan-Hua - Acta Automatica Sinica, 2021 - aas.net.cn",[],https://www.aas.net.cn/article/exportPdf?id=3f9b9742-83c9-4e10-ba69-4c9ed33464aa,unknown,unknown
A comprehensive survey of graph neural networks for knowledge graphs,"Z Ye, YJ Kumar, GO Sing, F Song, J Wang",2022,241,"… This review will provide new insights for further study of KG … tasks, covering recommender systems, question answering, … of this study: The definitions of knowledge graphs and graph …",H7oFvow_6K8J,"Z Ye, YJ Kumar, GO Sing, F Song, J Wang - Ieee Access, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9831453/,unknown,unknown
KGRecSys: Knowledge graph-based recommendation systems: A comprehensive overview,"B Padmaja, G Sucharitha…",2025,1,"… Microsoft presented Satori as a knowledge graph (KG). Satori is integrated into the Bing search engine, sim‑ ilar to how the Google Knowledge Graph supports Google’s search engine. …",12_GRRZQYisJ,"B Padmaja, G Sucharitha… - Artificial Intelligence …, 2025 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781003565529-18&type=chapterpdf,unknown,unknown
"A survey of graph neural networks for recommender systems: Challenges, methods, and directions","C Gao, Y Zheng, N Li, Y Li, Y Qin, J Piao…",2023,1007,"… this survey, we conduct a comprehensive review of the literature on graph neural network-based recommender systems… in representation learning on graphs is knowledge graph (KG), a …",Dxt42EF1L2oJ,"C Gao, Y Zheng, N Li, Y Li, Y Qin, J Piao… - … Recommender Systems, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3568022,unknown,unknown
A review of explainable recommender systems utilizing knowledge graphs and reinforcement learning,"N Tiwary, SAM Noah, F Fauzi, TS Yee",2024,28,"… review paper aims to explore the XRS and their approaches, particularly utilizing knowledge graph (… query enlisting the keywords ‘‘survey or review explainable recommender systems …",Ks9CeIOsW40J,"N Tiwary, SAM Noah, F Fauzi, TS Yee - IEEE Access, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10583886/,unknown,unknown
Survey of knowledge graph recommendation system research,"Z Yehui, LIU Lin, W Hailong, HAN Haiyan…",2023,25,,JCElnHtweU8J,"Z Yehui, LIU Lin, W Hailong, HAN Haiyan… - Journal of Frontiers of …, 2023",[],,unknown,unknown
The application of health recommender systems based on knowledge graph: A scoping review,"X Zhang, M Yi, Y Sun, S Han, W Zhang…",2023,8,"… This scoping review examined knowledge graph-based recommender systems in health, and summarized the classification, target population, algorithms, tasks, and limitations of the …",mERqsFHfl84J,"X Zhang, M Yi, Y Sun, S Han, W Zhang… - Interdisciplinary …, 2023 - journals.lww.com",[],https://journals.lww.com/inr/fulltext/2023/02000/The_application_of_health_recommender_systems.7.aspx,unknown,unknown
A systematic literature review of knowledge graph construction and application in education,"B Abu-Salih, S Alotaibi",2024,221,… that harnesses the potential of Knowledge Graphs (KGs) to … algorithm that combines a knowledge graph and an interest … path recommendation system based on a cognitive graph [38…,7e0TfjG0o0wJ,"B Abu-Salih, S Alotaibi - Heliyon, 2024 - cell.com",[],https://www.cell.com/heliyon/fulltext/S2405-8440(24)01414-2,unknown,unknown
A survey of knowledge graph approaches and applications in education,"K Qu, KC Li, BTM Wong, MMF Wu, M Liu",2024,90,… Reviews on knowledge graphs also addressed its application in specific domains. Abu-… This study surveyed the publications on knowledge graph in education and synthesised the …,k4rGzJ1v18EJ,"K Qu, KC Li, BTM Wong, MMF Wu, M Liu - Electronics, 2024 - mdpi.com",[],https://www.mdpi.com/2079-9292/13/13/2537,unknown,unknown
A comprehensive survey on automatic knowledge graph construction,"L Zhong, J Wu, Q Li, H Peng, X Wu",2023,558,"… , we review the representative practical knowledge graph … A recommendation system predicts how users interact with … Methods incorporating KB systems for this task have effectively …",b6bLsRTdjegJ,"L Zhong, J Wu, Q Li, H Peng, X Wu - ACM Computing Surveys, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3618295,unknown,unknown
